datetime,step,pv_to_house_frac,pv_to_batt_frac,batt_to_house_frac,grid_to_batt_frac,soc_kWh,pv_to_house_kWh,pv_to_batt_kWh,pv_to_grid_kWh,discharge_to_house_kWh,discharge_to_grid_kWh,grid_to_batt_kWh,grid_to_house_kWh,consumption_kWh,pv_production_kWh,step_cost_eur,degradation_penalty,reward
2023-12-17 09:00:00,8406,9.9946575,-6.8376546,9.957998,-1.8023901,2.6541727421118822e-09,0.05706707835674286,2.6541727421118822e-09,0.05501292498350143,0.0,0.0,0.0,0.864989449426574,0.9220565277833168,0.11208,0.17944726738024044,2.6541727421118822e-12,-0.1921233660011839
2023-12-17 10:00:00,8407,9.973257,-8.920008,9.839346,0.79159737,3.395858168423915e-09,0.12523818698644637,7.416854263120331e-10,0.10954180601656437,0.0,0.0,0.0,0.7335025798624003,0.8587407668488467,0.23478,0.1496538695304415,7.416854263120331e-13,-0.1669649230357994
2023-12-17 11:00:00,8408,9.979008,-9.609453,9.440754,9.522522,3.918103814962048e-09,0.17673057534098624,5.22245646538133e-10,0.10316943300068378,0.0,0.0,0.0,0.6390433456859077,0.8157739210268939,0.2799,0.13007232527401325,5.222456465381331e-13,-0.1468417270717574
2023-12-17 12:00:00,8409,9.984781,-9.68929,7.901762,9.647228,4.6352329045933336e-09,0.26437157376408577,7.171290896312853e-10,0.032928428450971846,0.0,0.0,0.0,0.9366258382629913,1.200997412027077,0.2973,0.19537428889718927,7.171290896312853e-13,-0.20617320530696853
2023-12-17 13:00:00,8410,9.982832,-9.530929,7.5204964,9.012554,5.226404256724493e-09,0.18565553916692734,5.911713521311589e-10,0.015824468338787555,0.0,0.0,0.0,0.8180681768143602,1.0037237159812875,0.20148,0.1711613383974641,5.911713521311589e-13,-0.18050641819639943
2023-12-17 14:00:00,8411,9.896542,-9.43088,3.255478,7.140667,5.747329937854317e-09,0.1357827283358574,5.209256811298247e-10,0.00017728306017816066,0.0,0.0,0.0,0.7284462204078129,0.8642289487436703,0.13596,0.1529666149632336,5.209256811298247e-13,-0.160981684012375
2023-12-17 15:00:00,8412,7.244177,-2.8952847,-5.7530327,8.849007,5.770147227696121e-06,0.15365358880519867,5.764399897758267e-06,3.4827823651994546e-07,0.0,0.0,0.0,0.7768778528034214,0.93053144160862,0.15366,0.163144335157589,5.7643998977582665e-09,-0.17114435898534455
2023-12-17 16:00:00,8413,-9.821001,-3.7029896,-7.5863004,9.314327,5.770147227696121e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0688677941232645,1.0688677941232645,0.0,0.22446223676588553,0.0,-0.23246222522559107
2023-12-17 17:00:00,8414,-9.964363,-8.249177,-8.729413,6.1998386,5.770147227696121e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.532092244801429,1.532092244801429,0.0,0.32173937140830006,0.0,-0.3297393598680056
2023-12-17 18:00:00,8415,-9.9968195,-9.084026,-9.31439,6.031109,5.770147227696121e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.748151712597981,1.748151712597981,0.0,0.367111859645576,0.0,-0.3751118481052816
2023-12-17 19:00:00,8416,-9.995796,-9.924828,-9.001255,-4.5562553,5.770147227696121e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.937511596230805,1.937511596230805,0.0,0.40687743520846903,0.0,-0.4148774236681746
2023-12-17 20:00:00,8417,-9.980102,-9.608498,-9.328522,-5.6259336,5.770147227696121e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.569345641400265,1.569345641400265,0.0,0.32956258469405564,0.0,-0.3375625731537612
